,lon,lat,common_name,condition_class,obs_btm_nests,tree_type,entry_source
0,-69.63344511,44.55127084,Crabapple,Good ,75,Fruiting / Flowering,Bartlett
1,-69.62973408,44.5495351,Crabapple,Fair ,50,Fruiting / Flowering,Bartlett
2,-69.6271305,44.55195911,Elm,Good ,50,Ornamental,Bartlett
3,-69.62936061,44.54957609,Elm,Good ,50,Ornamental,Bartlett
4,-69.66230072,44.52873009,Oak,Good ,50,Ornamental,Bartlett
5,-69.65900935,44.52789299,Cherry,Poor ,45,Fruiting / Flowering,Bartlett
6,-69.66150693,44.52850077,Crabapple,Good ,40,Fruiting / Flowering,Bartlett
7,-69.62717064,44.5521075,Elm,Good ,40,Ornamental,Bartlett
8,-69.6301038,44.5681192,Pear,Good ,40,Fruiting / Flowering,Bartlett
9,-69.6270962,44.55225634,Serviceberry,Good ,40,Bush,Bartlett
10,-69.66154058,44.52850708,Crabapple,Fair ,35,Fruiting / Flowering,Bartlett
11,-69.62727604,44.55224549,Elm,Good ,35,Ornamental,Bartlett
12,-69.65262698,44.57611534,Oak,Fair ,35,Ornamental,Bartlett
13,-69.62733975,44.55069452,Birch,Fair ,30,Ornamental,Bartlett
14,-69.62782513,44.55110006,Crabapple,Good ,30,Fruiting / Flowering,Bartlett
15,-69.62748217,44.55064301,Crabapple,Good ,30,Fruiting / Flowering,Bartlett
16,-69.62744157,44.55065334,Crabapple,Good ,30,Fruiting / Flowering,Bartlett
17,-69.65270976,44.57625846,Oak,Good ,30,Ornamental,Bartlett
18,-69.65236748,44.57561059,Oak,Good ,30,Ornamental,Bartlett
19,-69.66199199,44.52853189,Oak,Good ,30,Ornamental,Bartlett
20,-69.6602494,44.53418565,Oak,Fair ,30,Ornamental,Bartlett
21,-69.64312021,44.53454138,Oak,Fair ,30,Ornamental,Bartlett
22,-69.6272928,44.5527073,Serviceberry,Good ,30,Bush,Bartlett
23,-69.62982312,44.54962414,Crabapple,Good ,25,Fruiting / Flowering,Bartlett
24,-69.62752049,44.55065079,Crabapple,Good ,25,Fruiting / Flowering,Bartlett
25,-69.63316194,44.55088523,Elm,Good ,25,Ornamental,Bartlett
26,-69.62812371,44.55040987,Elm,Good ,25,Ornamental,Bartlett
27,-69.65218834,44.5743552,Oak,Good ,25,Ornamental,Bartlett
28,-69.66124895,44.5277905,Oak,Good ,25,Ornamental,Bartlett
29,-69.66060913,44.53424287,Oak,Good ,25,Ornamental,Bartlett
30,-69.64313773,44.53452574,Oak,Fair ,25,Ornamental,Bartlett
31,-69.64238261,44.53506726,Oak,Good ,25,Ornamental,Bartlett
32,-69.6272516,44.55264931,Serviceberry,Good ,25,Bush,Bartlett
33,-69.62729552,44.55263123,Serviceberry,Good ,25,Bush,Bartlett
34,-69.65940466,44.52692271,Cherry,Fair ,20,Fruiting / Flowering,Bartlett
35,-69.62756106,44.55066051,Crabapple,Good ,20,Fruiting / Flowering,Bartlett
36,-69.62758786,44.55068272,Crabapple,Good ,20,Fruiting / Flowering,Bartlett
37,-69.62723581,44.55280444,Elm,Good ,20,Ornamental,Bartlett
38,-69.62743323,44.55288368,Elm,Good ,20,Ornamental,Bartlett
