Tree ID,Common Name,Condition Class,Longitude,Latitude,Dbh 1,Dbh 2,Dbh 3,Dbh 4,Dbh 5,Dbh 6,ObservedBTMNests,DistancetoWater,Entry Source,Tree Type (Ornamental | Fruiting / Flowering | Bush),"Priority (1: High, 2: Med, 3: Low)"
130,Crabapple ,Good ,-69.63344511,44.55127084,10,...,...,...,...,...,75,>250' ,Bartlett Feb 2151,Fruiting / Flowering,1
101,Crabapple ,Fair ,-69.62973408,44.5495351,21,...,...,...,...,...,50,>250' ,Bartlett Feb 2122,Fruiting / Flowering,
59,Elm-American ,Good ,-69.6271305,44.55195911,4,...,...,...,...,...,50,<25' ,Bartlett Feb 2080,Ornamental,
105,Elm-American ,Good ,-69.62936061,44.54957609,42,...,...,...,...,...,50,>250' ,Bartlett Feb 2126,Ornamental,
353,Oak-Northern Red ,Good ,-69.66230072,44.52873009,24,...,...,...,...,...,50,>250' ,Bartlett Feb 2374,Ornamental,
388,Cherry-Black ,Poor ,-69.65900935,44.52789299,24,...,...,...,...,...,45,>250' ,Bartlett Feb 2409,Fruiting / Flowering,
406,Crabapple ,Good ,-69.66150693,44.52850077,14,...,...,...,...,...,40,>250' ,Bartlett Feb 2427,Fruiting / Flowering,
60,Elm-American ,Good ,-69.62717064,44.5521075,4,...,...,...,...,...,40,<25' ,Bartlett Feb 2081,Ornamental,
197,Pear-Callery ,Good ,-69.6301038,44.5681192,8,4,4,...,...,...,40,>250' ,Bartlett Feb 2218,Fruiting / Flowering,
63,Serviceberry ,Good ,-69.6270962,44.55225634,2,...,...,...,...,...,40,<25' ,Bartlett Feb 2084,Bush,
407,Crabapple ,Fair ,-69.66154058,44.52850708,10,...,...,...,...,...,35,>250' ,Bartlett Feb 2428,Fruiting / Flowering,
88,Elm-American ,Good ,-69.62727604,44.55224549,5,...,...,...,...,...,35,25-250' ,Bartlett Feb 2109,Ornamental,
632,Oak-Northern Red ,Fair ,-69.65262698,44.57611534,19,...,...,...,...,...,35,>250' ,Bartlett Feb 2610,Ornamental,
40,Birch-Paper ,Fair ,-69.62733975,44.55069452,8,6,4,...,...,...,30,25-250' ,Bartlett Feb 2061,Ornamental,
46,Crabapple ,Good ,-69.62782513,44.55110006,3,...,...,...,...,...,30,25-250' ,Bartlett Feb 2067,Fruiting / Flowering,
38,Crabapple ,Good ,-69.62748217,44.55064301,5,...,...,...,...,...,30,25-250' ,Bartlett Feb 2059,Fruiting / Flowering,
39,Crabapple ,Good ,-69.62744157,44.55065334,5,...,...,...,...,...,30,25-250' ,Bartlett Feb 2060,Fruiting / Flowering,
536,Oak-Northern Red ,Good ,-69.65270976,44.57625846,13,1...,...,...,...,...,30,>250' ,Bartlett Feb 2557,Ornamental,
539,Oak-Northern Red ,Good ,-69.65236748,44.57561059,14,1,...,...,...,...,30,>250' ,Bartlett Feb 2560,Ornamental,
409,Oak-Northern Red ,Good ,-69.66199199,44.52853189,18,...,...,...,...,...,30,>250' ,Bartlett Feb 2430,Ornamental,
385,Oak-Northern Red ,Fair ,-69.6602494,44.53418565,19,...,...,...,...,...,30,>250' ,Bartlett Feb 2406,Ornamental,
405,Oak-Northern Red ,Fair ,-69.64312021,44.53454138,22,...,...,...,...,...,30,25-250' ,Bartlett Feb 2426,Ornamental,
80,Serviceberry ,Good ,-69.6272928,44.5527073,1,...,...,...,...,...,30,<25' ,Bartlett Feb 2101,Bush,
103,Crabapple ,Good ,-69.62982312,44.54962414,8,...,...,...,...,...,25,>250' ,Bartlett Feb 2124,Fruiting / Flowering,
37,Crabapple ,Good ,-69.62752049,44.55065079,5,...,...,...,...,...,25,25-250' ,Bartlett Feb 2058,Fruiting / Flowering,
117,Elm-American ,Good ,-69.63316194,44.55088523,19,...,...,...,...,...,25,>250' ,Bartlett Feb 2138,Ornamental,
231,Elm-American ,Good ,-69.62812371,44.55040987,21,...,...,...,...,...,25,>250' ,Bartlett Feb 2252,Ornamental,
548,Oak-Northern Red ,Good ,-69.65218834,44.5743552,2,...,...,...,...,...,25,>250' ,Bartlett Feb 2569,Ornamental,
447,Oak-Northern Red ,Good ,-69.66124895,44.5277905,17,...,...,...,...,...,25,>250' ,Bartlett Feb 2468,Ornamental,
383,Oak-Northern Red ,Good ,-69.66060913,44.53424287,18,...,...,...,...,...,25,>250' ,Bartlett Feb 2404,Ornamental,
403,Oak-Northern Red ,Fair ,-69.64313773,44.53452574,18,17,...,...,...,...,25,25-250' ,Bartlett Feb 2424,Ornamental,
319,Oak-Northern Red ,Good ,-69.64238261,44.53506726,19,...,...,...,...,...,25,25-250' ,Bartlett Feb 2340,Ornamental,
77,Serviceberry ,Good ,-69.6272516,44.55264931,2,...,...,...,...,...,25,<25' ,Bartlett Feb 2098,Bush,
79,Serviceberry ,Good ,-69.62729552,44.55263123,2,...,...,...,...,...,25,<25' ,Bartlett Feb 2100,Bush,
394,Cherry-Black ,Fair ,-69.65940466,44.52692271,16,...,...,...,...,...,20,>250' ,Bartlett Feb 2415,Fruiting / Flowering,
36,Crabapple ,Good ,-69.62756106,44.55066051,4,...,...,...,...,...,20,25-250' ,Bartlett Feb 2057,Fruiting / Flowering,
35,Crabapple ,Good ,-69.62758786,44.55068272,6,...,...,...,...,...,20,25-250' ,Bartlett Feb 2056,Fruiting / Flowering,
89,Elm-American ,Good ,-69.62723581,44.55280444,3,...,...,...,...,...,20,<25' ,Bartlett Feb 2110,Ornamental,
95,Elm-American ,Good ,-69.62743323,44.55288368,4,...,...,...,...,...,20,25-250' ,Bartlett Feb 2116,Ornamental,
550,Oak-Northern Red ,Good ,-69.65206597,44.57404144,13,1...,1...,...,...,...,20,>250' ,Bartlett Feb 2571,Ornamental,
630,Oak-Northern Red ,Good ,-69.65267938,44.5761987,13,1...,...,...,...,...,20,>250' ,Bartlett Feb 2608,Ornamental,
645,Oak-Northern Red ,Good ,-69.65080745,44.57097762,15,...,...,...,...,...,20,>250' ,Bartlett Feb 2623,Ornamental,
