,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
0,-69.640555,44.560474,,0.0,,Citizen Survey
1,-69.652439,44.552399,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
2,-69.641394,44.540578,,0.0,,Citizen Survey
3,-69.644153,44.549889,,0.0,,Citizen Survey
4,-69.630605,44.553242,Oak,4.0,Ornamental,Citizen Survey
5,-69.630605,44.553242,Maple,4.0,Ornamental,Citizen Survey
6,-69.630605,44.553242,Ash,4.0,Ornamental,Citizen Survey
7,-69.630605,44.553242,Birch,4.0,Ornamental,Citizen Survey
8,-69.628226,44.556896,,0.0,,Citizen Survey
9,-69.656161,44.551369,Oak,3.0,Ornamental,Citizen Survey
10,-69.656161,44.551369,Maple,3.0,Ornamental,Citizen Survey
11,-69.656161,44.551369,Birch,3.0,Ornamental,Citizen Survey
12,-69.644794,44.544097,Oak,2.0,Ornamental,Citizen Survey
13,-69.644794,44.544097,Maple,2.0,Ornamental,Citizen Survey
14,-69.670326,44.548163,Oak,3.0,Ornamental,Citizen Survey
15,-69.670326,44.548163,Birch,3.0,Ornamental,Citizen Survey
16,-69.670326,44.548163,Serviceberry,3.0,Ornamental,Citizen Survey
17,-69.663665,44.543651,Apple,2.0,Fruiting / Flowering,Citizen Survey
18,-69.663665,44.543651,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
19,-69.669199,44.548741,Oak,4.0,Ornamental,Citizen Survey
20,-69.669199,44.548741,Maple,4.0,Ornamental,Citizen Survey
21,-69.669199,44.548741,Birch,4.0,Ornamental,Citizen Survey
22,-69.669199,44.548741,Crabapple,4.0,Fruiting / Flowering,Citizen Survey
23,-69.660484,44.545065,Oak,2.0,Ornamental,Citizen Survey
24,-69.660484,44.545065,Birch,2.0,Ornamental,Citizen Survey
25,-69.670521,44.548684,,0.0,,Citizen Survey
26,-69.641126,44.57523,Oak,2.0,Ornamental,Citizen Survey
27,-69.641126,44.57523,Birch,2.0,Ornamental,Citizen Survey
28,-69.661749,44.544553,Pear,2.0,Fruiting / Flowering,Citizen Survey
29,-69.661749,44.544553,Hawthorn,2.0,Fruiting / Flowering,Citizen Survey
30,-69.670521,44.548684,,0.0,,Citizen Survey
31,-69.662876,44.545136,Birch,3.0,Ornamental,Citizen Survey
32,-69.662876,44.545136,Apple,3.0,Fruiting / Flowering,Citizen Survey
33,-69.662876,44.545136,Crabapple,3.0,Fruiting / Flowering,Citizen Survey
34,-69.661131,44.543841,,0.0,,Citizen Survey
35,-69.660988,44.544544,Ash,1.0,Ornamental,Citizen Survey
36,-69.659686,44.546348,Oak,3.0,Ornamental,Citizen Survey
37,-69.659686,44.546348,Maple,3.0,Ornamental,Citizen Survey
38,-69.659686,44.546348,Birch,3.0,Ornamental,Citizen Survey
39,-69.648421,44.56697,,0.0,,Citizen Survey
40,-69.658142,44.546195,,0.0,,Citizen Survey
41,-69.655729,44.549882,Oak,1.0,Ornamental,Citizen Survey
42,-69.655365,44.548844,Oak,4.0,Ornamental,Citizen Survey
43,-69.655365,44.548844,Birch,4.0,Ornamental,Citizen Survey
44,-69.655365,44.548844,Apple,4.0,Fruiting / Flowering,Citizen Survey
45,-69.655365,44.548844,Crabapple,4.0,Fruiting / Flowering,Citizen Survey
46,-69.660032,44.547426,Oak,3.0,Ornamental,Citizen Survey
47,-69.660032,44.547426,Maple,3.0,Ornamental,Citizen Survey
48,-69.660032,44.547426,Ash,3.0,Ornamental,Citizen Survey
49,-69.660802,44.54486,Oak,2.0,Ornamental,Citizen Survey
50,-69.660802,44.54486,Birch,2.0,Ornamental,Citizen Survey
51,-69.658456,44.546679,Cherry,2.0,Fruiting / Flowering,Citizen Survey
52,-69.658456,44.546679,Hawthorn,2.0,Fruiting / Flowering,Citizen Survey
53,-69.662991,44.543569,Apple,2.0,Fruiting / Flowering,Citizen Survey
54,-69.662991,44.543569,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
55,-69.658765,44.547812,,0.0,,Citizen Survey
56,-69.657145,44.549833,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
57,-69.661074,44.538287,Maple,2.0,Ornamental,Citizen Survey
58,-69.661074,44.538287,Birch,2.0,Ornamental,Citizen Survey
59,-69.661214,44.537522,Oak,2.0,Ornamental,Citizen Survey
60,-69.661214,44.537522,Maple,2.0,Ornamental,Citizen Survey
61,-69.661799,44.537256,,0.0,,Citizen Survey
62,-69.661322,44.538465,,0.0,,Citizen Survey
63,-69.661564,44.537685,Oak,2.0,Ornamental,Citizen Survey
64,-69.661564,44.537685,Maple,2.0,Ornamental,Citizen Survey
65,-69.663935,44.537501,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
66,-69.647373,44.57294,,0.0,,Citizen Survey
67,-69.638146,44.549743,,0.0,,Citizen Survey
68,-69.654421,44.555066,,0.0,,Citizen Survey
69,-69.660287,44.547128,Oak,2.0,Ornamental,Citizen Survey
70,-69.660287,44.547128,Birch,2.0,Ornamental,Citizen Survey
71,-69.65705,44.539751,Maple,2.0,Ornamental,Citizen Survey
72,-69.65705,44.539751,Pear,2.0,Fruiting / Flowering,Citizen Survey
73,-69.641926,44.552913,Maple,2.0,Ornamental,Citizen Survey
74,-69.641926,44.552913,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
75,-69.654996,44.549692,Oak,2.0,Ornamental,Citizen Survey
76,-69.654996,44.549692,Maple,2.0,Ornamental,Citizen Survey
77,-69.636663,44.539029,,0.0,,Citizen Survey
78,-69.652681,44.551506,Birch,1.0,Ornamental,Citizen Survey
79,-69.638212,44.55929,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
80,-69.661101,44.543418,Oak,1.0,Ornamental,Citizen Survey
81,-69.639582,44.555051,,0.0,,Citizen Survey
82,-69.641519,44.573693,,0.0,,Citizen Survey
83,-69.66126,44.545853,Birch,2.0,Ornamental,Citizen Survey
84,-69.66126,44.545853,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
85,-69.659267,44.539342,Cherry,1.0,Fruiting / Flowering,Citizen Survey
86,-69.6402,44.555124,Oak,2.0,Ornamental,Citizen Survey
87,-69.6402,44.555124,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
88,-69.637085,44.576554,,0.0,,Citizen Survey
89,-69.647681,44.558138,Maple,2.0,Ornamental,Citizen Survey
90,-69.647681,44.558138,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
91,-69.647021,44.555909,,0.0,,Citizen Survey
92,-69.656476,44.549738,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
93,-69.645603,44.557555,,0.0,,Citizen Survey
94,-69.641329,44.555338,Oak,2.0,Ornamental,Citizen Survey
95,-69.641329,44.555338,Pear,2.0,Fruiting / Flowering,Citizen Survey
96,-69.646415,44.549539,,0.0,,Citizen Survey
97,-69.646404,44.549687,,0.0,,Citizen Survey
98,-69.656639,44.550227,Oak,3.0,Ornamental,Citizen Survey
99,-69.656639,44.550227,Maple,3.0,Ornamental,Citizen Survey
100,-69.656639,44.550227,Birch,3.0,Ornamental,Citizen Survey
101,-69.637755,44.541066,,0.0,,Citizen Survey
102,-69.650073,44.555266,Apple,2.0,Fruiting / Flowering,Citizen Survey
103,-69.650073,44.555266,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
104,-69.640596,44.555626,Oak,2.0,Ornamental,Citizen Survey
105,-69.640596,44.555626,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
106,-69.65439,44.551145,Oak,1.0,Ornamental,Citizen Survey
107,-69.637661,44.538807,Oak,1.0,Ornamental,Citizen Survey
108,-69.653292,44.554906,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
109,-69.659029,44.54054,Pear,2.0,Fruiting / Flowering,Citizen Survey
110,-69.659029,44.54054,Cherry,2.0,Fruiting / Flowering,Citizen Survey
111,-69.647864,44.546789,Oak,1.0,Ornamental,Citizen Survey
112,-69.637144,44.547943,,0.0,,Citizen Survey
113,-69.660389,44.547838,Maple,1.0,Ornamental,Citizen Survey
114,-69.647114,44.544493,,0.0,,Citizen Survey
115,-69.655198,44.542984,,0.0,,Citizen Survey
116,-69.661916,44.545358,,0.0,,Citizen Survey
117,-69.63307,44.576293,Apple,3.0,Fruiting / Flowering,Citizen Survey
118,-69.63307,44.576293,Pear,3.0,Fruiting / Flowering,Citizen Survey
119,-69.63307,44.576293,Cherry,3.0,Fruiting / Flowering,Citizen Survey
120,-69.651354,44.552747,,0.0,,Citizen Survey
121,-69.6482,44.549335,Maple,1.0,Ornamental,Citizen Survey
122,-69.636044,44.576402,Maple,1.0,Ornamental,Citizen Survey
123,-69.658715,44.546169,Oak,3.0,Ornamental,Citizen Survey
124,-69.658715,44.546169,Maple,3.0,Ornamental,Citizen Survey
125,-69.658715,44.546169,Apple,3.0,Fruiting / Flowering,Citizen Survey
126,-69.668401,44.54925,Oak,2.0,Ornamental,Citizen Survey
127,-69.668401,44.54925,Pear,2.0,Fruiting / Flowering,Citizen Survey
128,-69.65095,44.541883,,0.0,,Citizen Survey
129,-69.647034,44.549161,,0.0,,Citizen Survey
130,-69.647286,44.549187,,0.0,,Citizen Survey
131,-69.676661,44.516855,,0.0,,Citizen Survey
132,-69.642028,44.557585,Apple,2.0,Fruiting / Flowering,Citizen Survey
133,-69.642028,44.557585,Pear,2.0,Fruiting / Flowering,Citizen Survey
134,-69.651192,44.553423,,0.0,,Citizen Survey
135,-69.647596,44.555001,,0.0,,Citizen Survey
136,-69.656045,44.551676,Oak,3.0,Ornamental,Citizen Survey
137,-69.656045,44.551676,Maple,3.0,Ornamental,Citizen Survey
138,-69.656045,44.551676,Crabapple,3.0,Fruiting / Flowering,Citizen Survey
139,-69.636208,44.577558,Oak,4.0,Ornamental,Citizen Survey
140,-69.636208,44.577558,Apple,4.0,Fruiting / Flowering,Citizen Survey
141,-69.636208,44.577558,Crabapple,4.0,Fruiting / Flowering,Citizen Survey
142,-69.636208,44.577558,Pear,4.0,Fruiting / Flowering,Citizen Survey
143,-69.657362,44.549571,Oak,2.0,Ornamental,Citizen Survey
144,-69.657362,44.549571,Birch,2.0,Ornamental,Citizen Survey
145,-69.637432,44.574319,Oak,4.0,Ornamental,Citizen Survey
146,-69.637432,44.574319,Maple,4.0,Ornamental,Citizen Survey
147,-69.637432,44.574319,Apple,4.0,Fruiting / Flowering,Citizen Survey
148,-69.637432,44.574319,Crabapple,4.0,Fruiting / Flowering,Citizen Survey
149,-69.643683,44.553565,,0.0,,Citizen Survey
150,-69.655078,44.550817,Oak,1.0,Ornamental,Citizen Survey
151,-69.634238,44.57535,,0.0,,Citizen Survey
152,-69.645013,44.553737,,0.0,,Citizen Survey
153,-69.642965,44.53925,Oak,2.0,Ornamental,Citizen Survey
154,-69.642965,44.53925,Apple,2.0,Fruiting / Flowering,Citizen Survey
155,-69.643043,44.543976,,0.0,,Citizen Survey
156,-69.635133,44.561562,,0.0,,Citizen Survey
157,-69.661397,44.545136,Birch,1.0,Ornamental,Citizen Survey
158,-69.637366,44.552133,,0.0,,Citizen Survey
159,-69.689079,44.537922,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
160,-69.626889,44.5707,,0.0,,Citizen Survey
161,-69.640901,44.542723,,0.0,,Citizen Survey
162,-69.654962,44.543233,,0.0,,Citizen Survey
163,-69.639648,44.551256,,0.0,,Citizen Survey
164,-69.637837,44.552562,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
165,-69.658721,44.540011,,0.0,,Citizen Survey
