,lon,lat,common_name,condition_class,tree_type,obs_btm_nests,entry_source
0,-69.679596,44.509692,Oak,Continuous,Ornamental,500-999,MSFS Winter Web Survey
1,-69.663829,44.529162,Maple,Continuous,Fruiting / Flowering,100-499,MSFS Winter Web Survey
2,-69.654267,44.534331,Oak,Continuous,Ornamental,500-999,MSFS Winter Web Survey
3,-69.658993,44.556211,Oak,Continuous,Ornamental,100-499,MSFS Winter Web Survey
4,-69.655218,44.552073,Oak,Patchy,Ornamental,100-499,MSFS Winter Web Survey
5,-69.661264,44.562742,Oak,Continuous,Ornamental,100-499,MSFS Winter Web Survey
6,-69.673118,44.548565,Oak,Continuous,Ornamental,1000-4999,MSFS Winter Web Survey
7,-69.676892,44.550539,Oak,Continuous,Ornamental,500-999,MSFS Winter Web Survey
8,-69.666891,44.56439,Oak,Continuous,Ornamental,500-999,MSFS Winter Web Survey
9,-69.660862,44.567792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
10,-69.649482,44.566065,Oak,Continuous,Ornamental,500-999,MSFS Winter Web Survey
11,-69.653691,44.568677,Oak,Continuous,Ornamental,100-499,MSFS Winter Web Survey
12,-69.653691,44.568677,Oak,Continuous,Ornamental,100-499,MSFS Winter Web Survey
13,-69.648023,44.581446,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
14,-69.644022,44.576472,Oak,Continuous,Ornamental,100-499,MSFS Winter Web Survey
15,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
16,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
17,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
18,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
19,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
20,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
21,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
22,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
23,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
24,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
25,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
26,-69.640377,44.57088,Oak,Continuous,Ornamental,100-499,MSFS Winter Web Survey
27,-69.637458,44.566048,Oak,Patchy,Ornamental,100-499,MSFS Winter Web Survey
28,-69.63196,44.555783,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
29,-69.632225,44.551624,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
30,-69.635816,44.5465,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
31,-69.641063,44.543434,Oak,Continuous,Ornamental,100-499,MSFS Winter Web Survey
32,-69.648855,44.540224,Oak,Patchy,Ornamental,100-499,MSFS Winter Web Survey
33,-69.661636,44.542792,Oak,Patchy,Ornamental,10-99,MSFS Winter Web Survey
34,-69.670174,44.544284,Oak,Patchy,Ornamental,100-499,MSFS Winter Web Survey
