Title,TOWN,COUNTY,Date_Creat,Latitude,Longitude,Northing,Easting,Count,Host,Pattern
Placemark 232,Waterville,Kennebec,2022-01-26T10:11:19-05:00,44.509692,-69.679596,4928710.285,445982.5349,500-999,Oak,Continuous
Placemark 233,Waterville,Kennebec,2022-01-26T10:14:13-05:00,44.529162,-69.663829,4930862.696,447253.3619,100-499,Maple,Continuous
Placemark 234,Waterville,Kennebec,2022-01-26T10:15:20-05:00,44.534331,-69.654267,4931430.805,448017.7528,500-999,Oak,Continuous
Placemark 235,Waterville,Kennebec,2022-01-26T10:19:00-05:00,44.556211,-69.658993,4933864.166,447661.8968,100-499,Oak,Continuous
Placemark 236,Waterville,Kennebec,2022-01-26T10:22:14-05:00,44.552073,-69.655218,4933402.079,447958.0223,100-499,Oak,Patchy
Placemark 237,Waterville,Kennebec,2022-01-26T10:30:11-05:00,44.562742,-69.661264,4934591.131,447487.4285,100-499,Oak,Continuous
Placemark 238,Waterville,Kennebec,2022-01-26T10:31:27-05:00,44.548565,-69.673118,4933023.969,446533.0619,1000-4999,Oak,Continuous
Placemark 239,Waterville,Kennebec,2022-01-26T10:32:22-05:00,44.550539,-69.676892,4933245.783,446235.1279,500-999,Oak,Continuous
Placemark 240,Waterville,Kennebec,2022-01-26T10:34:09-05:00,44.564390,-69.666891,4934777.821,447042.0069,500-999,Oak,Continuous
Placemark 241,Waterville,Kennebec,2022-01-26T10:35:14-05:00,44.567792,-69.660862,4935151.782,447523.8249,10-99,Oak,Patchy
Placemark 242,Waterville,Kennebec,2022-01-26T10:36:53-05:00,44.566065,-69.649482,4934952.673,448425.9239,500-999,Oak,Continuous
Placemark 244,Waterville,Kennebec,2022-01-26T10:45:31-05:00,44.568677,-69.653691,4935245.47,448094.0873,100-499,Oak,Continuous
Placemark 244,Waterville,Kennebec,2022-01-26T10:45:31-05:00,44.568677,-69.653691,4935245.47,448094.0873,100-499,Oak,Continuous
Placemark 76,Waterville,Kennebec,2022-01-18T12:48:56-05:00,44.581446,-69.648023,4936660.264,448555.3624,10-99,Oak,Patchy
Placemark 77,Waterville,Kennebec,2022-01-18T12:49:26-05:00,44.576472,-69.644022,4936105.234,448868.6344,100-499,Oak,Continuous
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 78,Waterville,Kennebec,2022-01-18T12:50:40-05:00,44.570880,-69.640377,4935481.879,449153.1615,100-499,Oak,Continuous
Placemark 79,Waterville,Kennebec,2022-01-18T12:52:19-05:00,44.566048,-69.637458,4934943.251,449380.7755,100-499,Oak,Patchy
Placemark 80,Waterville,Kennebec,2022-01-18T12:54:31-05:00,44.555783,-69.63196,4933799.712,449808.5435,10-99,Oak,Patchy
Placemark 81,Waterville,Kennebec,2022-01-18T12:56:05-05:00,44.551624,-69.632225,4933337.849,449783.8841,10-99,Oak,Patchy
Placemark 82,Waterville,Kennebec,2022-01-18T12:57:46-05:00,44.546500,-69.635816,4932770.845,449494.2283,10-99,Oak,Patchy
Placemark 83,Waterville,Kennebec,2022-01-18T12:58:32-05:00,44.543434,-69.641063,4932433.573,449074.7435,100-499,Oak,Continuous
Placemark 84,Waterville,Kennebec,2022-01-18T12:59:26-05:00,44.540224,-69.648855,4932081.932,448452.9128,100-499,Oak,Patchy
Placemark 85,Waterville,Kennebec,2022-01-18T13:00:29-05:00,44.542792,-69.661636,4932375.332,447439.9254,10-99,Oak,Patchy
Placemark 87,Waterville,Kennebec,2022-01-18T13:20:23-05:00,44.544284,-69.670174,4932546.525,446762.9668,100-499,Oak,Patchy
