,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
0,-69.640555,44.560474,,0.0,,Citizen Survey
1,-69.652439,44.552399,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
2,-69.641394,44.540578,,0.0,,Citizen Survey
3,-69.644153,44.549889,,0.0,,Citizen Survey
4,-69.630605,44.553242,"Oak, Maple, Ash, Birch, ",4.0,Ornamental,Citizen Survey
5,-69.628226,44.556896,,0.0,,Citizen Survey
6,-69.656161,44.551369,"Oak, Maple, Birch, ",3.0,Ornamental,Citizen Survey
7,-69.644794,44.544097,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
8,-69.670326,44.548163,"Oak, Birch, Serviceberry, ",3.0,Ornamental,Citizen Survey
9,-69.663665,44.543651,"Apple, Crabapple, ",2.0,Fruiting / Flowering,Citizen Survey
10,-69.669199,44.548741,"Oak, Maple, Birch, Crabapple, ",4.0,Mixed,Citizen Survey
11,-69.660484,44.545065,"Oak, Birch, ",2.0,Ornamental,Citizen Survey
12,-69.670521,44.548684,,0.0,,Citizen Survey
13,-69.641126,44.57523,"Oak, Birch, ",2.0,Ornamental,Citizen Survey
14,-69.661749,44.544553,"Pear, Hawthorn, ",2.0,Fruiting / Flowering,Citizen Survey
15,-69.670521,44.548684,,0.0,,Citizen Survey
16,-69.662876,44.545136,"Birch, Apple, Crabapple, ",3.0,Mixed,Citizen Survey
17,-69.661131,44.543841,,0.0,,Citizen Survey
18,-69.660988,44.544544,"Ash, ",1.0,Ornamental,Citizen Survey
19,-69.659686,44.546348,"Oak, Maple, Birch, ",3.0,Ornamental,Citizen Survey
20,-69.648421,44.56697,,0.0,,Citizen Survey
21,-69.658142,44.546195,,0.0,Ornamental,Citizen Survey
22,-69.655729,44.549882,"Oak, ",1.0,Ornamental,Citizen Survey
23,-69.655365,44.548844,"Oak, Birch, Apple, Crabapple, ",4.0,Mixed,Citizen Survey
24,-69.660032,44.547426,"Oak, Maple, Ash, ",3.0,Ornamental,Citizen Survey
25,-69.660802,44.54486,"Oak, Birch, ",2.0,Ornamental,Citizen Survey
26,-69.658456,44.546679,"Cherry, Hawthorn, ",2.0,Fruiting / Flowering,Citizen Survey
27,-69.662991,44.543569,"Apple, Crabapple, ",2.0,,Citizen Survey
28,-69.658765,44.547812,,0.0,Ornamental,Citizen Survey
29,-69.657145,44.549833,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
30,-69.661074,44.538287,"Maple, Birch, ",2.0,Ornamental,Citizen Survey
31,-69.661214,44.537522,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
32,-69.661799,44.537256,,0.0,,Citizen Survey
33,-69.661322,44.538465,,0.0,Ornamental,Citizen Survey
34,-69.661564,44.537685,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
35,-69.663935,44.537501,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
36,-69.647373,44.57294,,0.0,Ornamental,Citizen Survey
37,-69.638146,44.549743,,0.0,,Citizen Survey
38,-69.654421,44.555066,,0.0,,Citizen Survey
39,-69.660287,44.547128,"Oak, Birch, ",2.0,Ornamental,Citizen Survey
40,-69.65705,44.539751,"Maple, Pear, ",2.0,Mixed,Citizen Survey
41,-69.641926,44.552913,"Maple, Crabapple, ",2.0,Mixed,Citizen Survey
42,-69.654996,44.549692,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
43,-69.636663,44.539029,,0.0,,Citizen Survey
44,-69.652681,44.551506,"Birch, ",1.0,Ornamental,Citizen Survey
45,-69.638212,44.55929,"Crabapple, ",1.0,,Citizen Survey
46,-69.661101,44.543418,"Oak, ",1.0,Ornamental,Citizen Survey
47,-69.639582,44.555051,,0.0,,Citizen Survey
48,-69.641519,44.573693,,0.0,Mixed,Citizen Survey
49,-69.66126,44.545853,"Birch, Crabapple, ",2.0,Mixed,Citizen Survey
50,-69.659267,44.539342,"Cherry, ",1.0,Fruiting / Flowering,Citizen Survey
51,-69.6402,44.555124,"Oak, Crabapple, ",2.0,Mixed,Citizen Survey
52,-69.637085,44.576554,,0.0,,Citizen Survey
53,-69.647681,44.558138,"Maple, Crabapple, ",2.0,Mixed,Citizen Survey
54,-69.647021,44.555909,,0.0,,Citizen Survey
55,-69.656476,44.549738,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
56,-69.645603,44.557555,,0.0,,Citizen Survey
57,-69.641329,44.555338,"Oak, Pear, ",2.0,Mixed,Citizen Survey
58,-69.646415,44.549539,,0.0,,Citizen Survey
59,-69.646404,44.549687,,0.0,,Citizen Survey
60,-69.656639,44.550227,"Oak, Maple, Birch, ",3.0,Ornamental,Citizen Survey
61,-69.637755,44.541066,,0.0,,Citizen Survey
62,-69.650073,44.555266,"Apple, Crabapple, ",2.0,Fruiting / Flowering,Citizen Survey
63,-69.640596,44.555626,"Oak, Crabapple, ",2.0,Mixed,Citizen Survey
64,-69.65439,44.551145,"Oak, ",1.0,,Citizen Survey
65,-69.637661,44.538807,"Oak, ",1.0,,Citizen Survey
66,-69.653292,44.554906,"Crabapple, ",1.0,,Citizen Survey
67,-69.659029,44.54054,"Pear, Cherry, ",2.0,Fruiting / Flowering,Citizen Survey
68,-69.647864,44.546789,"Oak, ",1.0,Ornamental,Citizen Survey
69,-69.637144,44.547943,,0.0,,Citizen Survey
70,-69.660389,44.547838,"Maple, ",1.0,Ornamental,Citizen Survey
71,-69.647114,44.544493,,0.0,,Citizen Survey
72,-69.655198,44.542984,,0.0,,Citizen Survey
73,-69.661916,44.545358,,0.0,Ornamental,Citizen Survey
74,-69.63307,44.576293,"Apple, Pear, Cherry, ",3.0,Fruiting / Flowering,Citizen Survey
75,-69.651354,44.552747,,0.0,Fruiting / Flowering,Citizen Survey
76,-69.6482,44.549335,"Maple, ",1.0,Ornamental,Citizen Survey
77,-69.636044,44.576402,"Maple, ",1.0,Ornamental,Citizen Survey
78,-69.658715,44.546169,"Oak, Maple, Apple, ",3.0,Mixed,Citizen Survey
79,-69.668401,44.54925,"Oak, Pear, ",2.0,Mixed,Citizen Survey
80,-69.65095,44.541883,,0.0,Mixed,Citizen Survey
81,-69.647034,44.549161,,0.0,,Citizen Survey
82,-69.647286,44.549187,,0.0,,Citizen Survey
83,-69.676661,44.516855,,0.0,,Citizen Survey
84,-69.642028,44.557585,"Apple, Pear, ",2.0,,Citizen Survey
85,-69.651192,44.553423,,0.0,,Citizen Survey
86,-69.647596,44.555001,,0.0,,Citizen Survey
87,-69.656045,44.551676,"Oak, Maple, Crabapple, ",3.0,Mixed,Citizen Survey
88,-69.636208,44.577558,"Oak, Apple, Crabapple, Pear, ",4.0,Mixed,Citizen Survey
89,-69.657362,44.549571,"Oak, Birch, ",2.0,Ornamental,Citizen Survey
90,-69.637432,44.574319,"Oak, Maple, Apple, Crabapple, ",4.0,Mixed,Citizen Survey
91,-69.643683,44.553565,,0.0,,Citizen Survey
92,-69.655078,44.550817,"Oak, ",1.0,Ornamental,Citizen Survey
93,-69.634238,44.57535,,0.0,,Citizen Survey
94,-69.645013,44.553737,,0.0,,Citizen Survey
95,-69.642965,44.53925,"Oak, Apple, ",2.0,Mixed,Citizen Survey
96,-69.643043,44.543976,,0.0,Ornamental,Citizen Survey
97,-69.635133,44.561562,,0.0,,Citizen Survey
98,-69.661397,44.545136,"Birch, ",1.0,Ornamental,Citizen Survey
99,-69.637366,44.552133,,0.0,,Citizen Survey
100,-69.689079,44.537922,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
101,-69.626889,44.5707,,0.0,,Citizen Survey
102,-69.640901,44.542723,,0.0,,Citizen Survey
103,-69.654962,44.543233,,0.0,,Citizen Survey
104,-69.639648,44.551256,,0.0,,Citizen Survey
105,-69.637837,44.552562,"Crabapple, ",1.0,,Citizen Survey
106,-69.658721,44.540011,,0.0,,Citizen Survey
107,-69.657098,44.546286,,0.0,,Citizen Survey
108,-69.638273,44.540622,,0.0,,Citizen Survey
109,-69.649545,44.545123,,0.0,,Citizen Survey
110,-69.640406,44.557256,"Oak, ",1.0,Ornamental,Citizen Survey
111,-69.673414,44.547992,"Maple, Birch, ",2.0,Ornamental,Citizen Survey
112,-69.639093,44.552938,,0.0,,Citizen Survey
113,-69.669347,44.549533,"Ash, ",1.0,Ornamental,Citizen Survey
114,-69.680826,44.506117,"Apple, ",1.0,,Citizen Survey
115,-69.65652,44.54687,,0.0,,Citizen Survey
116,-69.648662,44.548351,"Oak, Maple, Birch, Apple, Pear, ",5.0,Mixed,Citizen Survey
117,-69.654746,44.548681,"Oak, ",1.0,Ornamental,Citizen Survey
118,-69.645876,44.550248,,0.0,,Citizen Survey
119,-69.641345,44.561941,,0.0,,Citizen Survey
120,-69.64218,44.56281,,0.0,,Citizen Survey
121,-69.638232,44.578402,"Oak, Apple, Crabapple, Pear, Cherry, Serviceberry, ",6.0,Mixed,Citizen Survey
122,-69.655002,44.545128,"Ash, Cherry, ",2.0,Mixed,Citizen Survey
123,-69.649959,44.546692,,0.0,,Citizen Survey
124,-69.638543,44.5803,,0.0,,Citizen Survey
125,-69.646256,44.549954,,0.0,,Citizen Survey
126,-69.657846,44.545593,"Oak, ",1.0,Ornamental,Citizen Survey
127,-69.65589,44.545744,,0.0,,Citizen Survey
128,-69.658909,44.547235,,0.0,,Citizen Survey
129,-69.656928,44.546274,"Oak, ",1.0,Ornamental,Citizen Survey
130,-69.661223,44.537524,"Oak, Crabapple, ",2.0,Mixed,Citizen Survey
131,-69.647874,44.538664,,0.0,,Citizen Survey
132,-69.656636,44.532596,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
133,-69.638006,44.560578,,0.0,,Citizen Survey
134,-69.645117,44.553404,,0.0,,Citizen Survey
135,-69.654103,44.555869,,0.0,,Citizen Survey
136,-69.63323,44.562549,,0.0,,Citizen Survey
137,-69.675013,44.548491,"Apple, Pear, ",2.0,Fruiting / Flowering,Citizen Survey
138,-69.653161,44.553299,,0.0,Mixed,Citizen Survey
139,-69.639236,44.561895,,0.0,,Citizen Survey
140,-69.672021,44.552132,"Oak, Cherry, ",2.0,Mixed,Citizen Survey
141,-69.637363,44.560474,,0.0,,Citizen Survey
142,-69.655654,44.540947,,0.0,,Citizen Survey
143,-69.631943,44.559991,,0.0,,Citizen Survey
144,-69.655624,44.555693,"Apple, ",1.0,Fruiting / Flowering,Citizen Survey
145,-69.647618,44.556441,,0.0,,Citizen Survey
146,-69.656036,44.545311,,0.0,,Citizen Survey
147,-69.640557,44.561829,,0.0,,Citizen Survey
148,-69.656372,44.544976,"Apple, ",1.0,,Citizen Survey
149,-69.671433,44.521261,,0.0,,Citizen Survey
150,-69.644969,44.562835,,0.0,Ornamental,Citizen Survey
151,-69.641631,44.555881,"Oak, Apple, ",2.0,,Citizen Survey
152,-69.642145,44.539655,,0.0,,Citizen Survey
153,-69.646082,44.549005,"Oak, ",1.0,Ornamental,Citizen Survey
154,-69.635969,44.561413,,0.0,,Citizen Survey
155,-69.645345,44.540483,,0.0,Ornamental,Citizen Survey
156,-69.654741,44.554438,,0.0,,Citizen Survey
157,-69.639772,44.555104,,0.0,,Citizen Survey
158,-69.634679,44.560921,,0.0,,Citizen Survey
159,-69.673268,44.52102,,0.0,,Citizen Survey
160,-69.649965,44.544391,"Apple, ",1.0,,Citizen Survey
161,-69.64021,44.550267,,0.0,,Citizen Survey
162,-69.642826,44.563184,,0.0,,Citizen Survey
163,-69.636513,44.575513,,0.0,,Citizen Survey
